ID,Lat,Lon,pm25_value,AOD550,temp_2m,rhum,zonal_wind_10m,merid_wind_10m,surf_pres,hpbl,conv_prec,short_radi_surf,NDVI,DEM,Population,distance,NLCD_Developed,year,month,doy,rid
3431,-12.0284128,-76.9188995,18.53425708,0.240247078,290.3307052,91.09405,-0.444947541,1.013080576,81369.8544,389.6608539,0.237689,82.6268308217593,0.102,372.6666667,2979,884.9861099,0.4540568895,2016,2,60,2
4454,-11.8665352,-77.0730057,35.002,0.307050429,289.9397385,90.14827,-0.445115691,1.126843348,81412.87212,490.1421904,0.925812,81.5374150578704,0.1456,186.0,8745,4037.168725,0.7566839444,2016,2,60,2
2577,-12.163311,-76.9192429,27.82795917,0.21517943,290.7890241,93.83246,-0.324814318,0.906904247,83351.2081,292.8288812,0.111421,64.1696153819445,0.1313,328.3076923,2589,6474.234323,0.0189896755,2016,3,61,2
3431,-12.0284128,-76.9188995,24.7332625,0.226989186,289.9441627,92.97704,-0.268881039,0.748229162,81347.60792,290.4893972,0.157455,64.6583564467593,0.102,372.6666667,2979,884.9861099,0.4540568895,2016,3,61,2
4454,-11.8665352,-77.0730057,24.25416667,0.293806204,289.447702,91.45583,-0.381077245,0.853926967,81392.45149,378.0871321,0.304295,66.1464908912037,0.1456,186.0,8745,4037.168725,0.7566839444,2016,3,61,2
2577,-12.163311,-76.9192429,32.1113775,0.208673786,290.7603468,90.94633,-0.396813124,0.495985023,83319.95367,273.5109731,0.539442,64.858704224537,0.1313,328.3076923,2589,6474.234323,0.0189896755,2016,3,62,2
3431,-12.0284128,-76.9188995,30.39285208,0.239585291,289.9008839,89.6121,-0.415008183,0.359063939,81316.95759,484.7960576,0.470723,65.5869217476852,0.102,372.6666667,2979,884.9861099,0.4540568895,2016,3,62,2
4454,-11.8665352,-77.0730057,33.54791667,0.255605453,289.4712286,88.15612,-0.417169208,0.467634308,81364.29026,577.19367,0.0993,67.0478109259259,0.1456,186.0,8745,4037.168725,0.7566839444,2016,3,62,2
2577,-12.163311,-76.9192429,24.77778083,0.196019221,290.2856374,95.98906,-0.185779698,0.694931304,83417.19724,352.0135103,2.468301,49.0973035300926,0.1313,328.3076923,2589,6474.234323,0.0189896755,2016,3,65,2
4454,-11.8665352,-77.0730057,30.27916667,0.210562892,288.9092774,93.99715,-0.227860899,0.602402591,81448.99981,696.5065061,1.376332,53.1296806134259,0.1456,186.0,8745,4037.168725,0.7566839444,2016,3,65,2
